"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
061114MR,5901,5901,5901,N-experiment,0,Athens,1,7,6,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,1,7,2,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,1,7,1,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5902,N-experiment,0,Athens,1,6,7,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,N-experiment,0,Athens,1,6,2,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,N-experiment,0,Athens,1,6,1,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,1,2,7,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,1,2,6,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,1,2,1,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,1,1,7,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,1,1,6,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,1,1,2,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,1,8,10,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,1,8,15,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,1,8,5,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,1,10,8,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,1,10,15,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,1,10,5,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,1,15,8,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,1,15,10,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,1,15,5,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,1,5,8,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,1,5,10,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,1,5,15,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,1,0,12,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,1,0,9,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,1,0,12,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,1,12,0,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,1,12,9,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,1,12,12,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,1,9,0,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,1,9,12,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,1,9,12,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5912,N-experiment,0,Athens,1,12,0,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,N-experiment,0,Athens,1,12,12,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,N-experiment,0,Athens,1,12,9,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5904,5904,5913,N-experiment,0,Athens,1,3,14,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,N-experiment,0,Athens,1,3,2,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,N-experiment,0,Athens,1,3,8,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,1,14,3,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,1,14,2,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,1,14,8,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,1,2,3,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,1,2,14,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,1,2,8,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5916,N-experiment,0,Athens,1,8,3,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,N-experiment,0,Athens,1,8,14,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,N-experiment,0,Athens,1,8,2,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,2,6,2,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,2,6,1,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,2,6,0,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5902,N-experiment,0,Athens,2,2,6,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,N-experiment,0,Athens,2,2,1,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,N-experiment,0,Athens,2,2,0,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,2,1,6,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,2,1,2,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,2,1,0,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,2,0,6,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,2,0,2,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,2,0,1,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,2,5,8,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,2,5,10,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,2,5,8,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,2,8,5,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,2,8,10,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,2,8,8,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,2,10,5,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,2,10,8,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,2,10,8,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,2,8,5,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,2,8,8,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,2,8,10,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,2,0,8,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,2,0,7,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,2,0,7,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,2,8,0,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,2,8,7,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,2,8,7,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,2,7,0,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,2,7,8,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,2,7,7,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5912,N-experiment,0,Athens,2,7,0,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,N-experiment,0,Athens,2,7,8,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,N-experiment,0,Athens,2,7,7,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5904,5904,5913,N-experiment,0,Athens,2,4,8,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,N-experiment,0,Athens,2,4,3,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,N-experiment,0,Athens,2,4,10,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,2,8,4,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,2,8,3,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,2,8,10,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,2,3,4,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,2,3,8,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,2,3,10,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5916,N-experiment,0,Athens,2,10,4,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,N-experiment,0,Athens,2,10,8,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,N-experiment,0,Athens,2,10,3,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,3,5,1,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,3,5,2,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,N-experiment,0,Athens,3,5,0,,,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5902,N-experiment,0,Athens,3,1,5,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,N-experiment,0,Athens,3,1,2,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,N-experiment,0,Athens,3,1,0,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,3,2,5,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,3,2,1,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,N-experiment,0,Athens,3,2,0,,,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,3,0,5,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,3,0,1,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,N-experiment,0,Athens,3,0,2,,,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,3,12,9,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,3,12,10,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,N-experiment,0,Athens,3,12,5,,,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,3,9,12,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,3,9,10,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,N-experiment,0,Athens,3,9,5,,,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,3,10,12,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,3,10,9,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,N-experiment,0,Athens,3,10,5,,,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,3,5,12,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,3,5,9,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,N-experiment,0,Athens,3,5,10,,,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,3,0,10,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,3,0,5,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,N-experiment,0,Athens,3,0,10,,,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,3,10,0,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,3,10,5,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,N-experiment,0,Athens,3,10,10,,,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,3,5,0,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,3,5,10,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,N-experiment,0,Athens,3,5,10,,,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5912,N-experiment,0,Athens,3,10,0,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,N-experiment,0,Athens,3,10,10,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,N-experiment,0,Athens,3,10,5,,,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5904,5904,5913,N-experiment,0,Athens,3,9,6,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,N-experiment,0,Athens,3,9,5,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,N-experiment,0,Athens,3,9,13,,,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,3,6,9,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,3,6,5,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,N-experiment,0,Athens,3,6,13,,,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,3,5,9,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,3,5,6,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,N-experiment,0,Athens,3,5,13,,,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5916,N-experiment,0,Athens,3,13,9,,,7.462087,0.7075652,0,18,0,0,1,1,1,0
