"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
061114MR,5901,5901,5901,P-experiment,1,Athens,1,5,0,9,2,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,1,5,0,9,2,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,1,5,0,9,2,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5902,P-experiment,1,Athens,1,0,5,0,11,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,P-experiment,1,Athens,1,0,0,0,11,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,P-experiment,1,Athens,1,0,0,1,11,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,1,0,5,2,9,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,1,0,0,2,9,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,1,0,0,2,9,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,1,0,5,0,12,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,1,0,0,0,12,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,1,0,0,0,12,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,1,8,10,0,3,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,1,8,10,0,3,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,1,8,5,0,3,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5906,P-experiment,1,Athens,1,10,8,2,1,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,P-experiment,1,Athens,1,10,10,0,1,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,P-experiment,1,Athens,1,10,5,2,1,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5907,P-experiment,1,Athens,1,10,8,0,1,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,P-experiment,1,Athens,1,10,10,0,1,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,P-experiment,1,Athens,1,10,5,2,1,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5908,P-experiment,1,Athens,1,5,8,1,4,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,P-experiment,1,Athens,1,5,10,1,4,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,P-experiment,1,Athens,1,5,10,1,4,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5903,5903,5909,P-experiment,1,Athens,1,0,8,0,0,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,P-experiment,1,Athens,1,0,20,0,0,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,P-experiment,1,Athens,1,0,0,0,0,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5910,P-experiment,1,Athens,1,8,0,0,0,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,P-experiment,1,Athens,1,8,20,0,0,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,P-experiment,1,Athens,1,8,0,0,0,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5911,P-experiment,1,Athens,1,20,0,0,0,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,P-experiment,1,Athens,1,20,8,0,0,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,P-experiment,1,Athens,1,20,0,0,0,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5912,P-experiment,1,Athens,1,0,0,0,0,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,P-experiment,1,Athens,1,0,8,0,0,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,P-experiment,1,Athens,1,0,20,0,0,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5904,5904,5913,P-experiment,1,Athens,1,3,9,0,2,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,P-experiment,1,Athens,1,3,0,3,2,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,P-experiment,1,Athens,1,3,7,1,2,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5914,P-experiment,1,Athens,1,9,3,1,0,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,P-experiment,1,Athens,1,9,0,2,0,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,P-experiment,1,Athens,1,9,7,0,0,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5915,P-experiment,1,Athens,1,0,3,0,7,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,P-experiment,1,Athens,1,0,9,0,7,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,P-experiment,1,Athens,1,0,7,0,7,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5916,P-experiment,1,Athens,1,7,3,1,1,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,P-experiment,1,Athens,1,7,9,0,1,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,P-experiment,1,Athens,1,7,0,2,1,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,2,5,0,1,15,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,2,5,0,1,15,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,2,5,0,1,15,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5902,P-experiment,1,Athens,2,0,5,1,17,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,P-experiment,1,Athens,2,0,0,1,17,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,P-experiment,1,Athens,2,0,0,1,17,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,2,0,5,7,12,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,2,0,0,6,12,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,2,0,0,7,12,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,2,0,5,7,9,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,2,0,0,10,9,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,2,0,0,10,9,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,2,7,10,0,1,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,2,7,6,0,1,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,2,7,10,3,1,7.462087,0.7075652,0,19,4,0,1,1,1,1
061114MR,5902,5902,5906,P-experiment,1,Athens,2,10,7,0,1,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,P-experiment,1,Athens,2,10,6,1,1,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5906,P-experiment,1,Athens,2,10,10,0,1,7.462087,0.7075652,0,20,1,0,1,0,1,1
061114MR,5902,5902,5907,P-experiment,1,Athens,2,6,7,1,1,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,P-experiment,1,Athens,2,6,10,0,1,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5907,P-experiment,1,Athens,2,6,10,0,1,7.462087,0.7075652,1,17,2,0,1,1,1,1
061114MR,5902,5902,5908,P-experiment,1,Athens,2,10,7,0,3,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,P-experiment,1,Athens,2,10,10,1,3,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5902,5902,5908,P-experiment,1,Athens,2,10,6,0,3,7.462087,0.7075652,0,18,0,0,1,1,1,1
061114MR,5903,5903,5909,P-experiment,1,Athens,2,0,10,0,1,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,P-experiment,1,Athens,2,0,3,0,1,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5909,P-experiment,1,Athens,2,0,0,0,1,7.462087,0.7075652,0,18,4,0,1,1,1,1
061114MR,5903,5903,5910,P-experiment,1,Athens,2,10,0,1,0,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,P-experiment,1,Athens,2,10,3,1,0,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5910,P-experiment,1,Athens,2,10,0,1,0,7.462087,0.7075652,1,18,2,0,1,0,1,1
061114MR,5903,5903,5911,P-experiment,1,Athens,2,3,0,0,1,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,P-experiment,1,Athens,2,3,10,0,1,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5911,P-experiment,1,Athens,2,3,0,0,1,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5903,5903,5912,P-experiment,1,Athens,2,0,0,0,1,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,P-experiment,1,Athens,2,0,10,0,1,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5903,5903,5912,P-experiment,1,Athens,2,0,3,0,1,7.462087,0.7075652,1,18,2,1,1,0,1,0
061114MR,5904,5904,5913,P-experiment,1,Athens,2,5,6,1,2,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,P-experiment,1,Athens,2,5,10,1,2,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5913,P-experiment,1,Athens,2,5,7,1,2,7.462087,0.7075652,0,19,5,1,1,1,1,1
061114MR,5904,5904,5914,P-experiment,1,Athens,2,6,5,1,4,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,P-experiment,1,Athens,2,6,10,0,4,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5914,P-experiment,1,Athens,2,6,7,0,4,7.462087,0.7075652,0,21,2,0,0,1,1,1
061114MR,5904,5904,5915,P-experiment,1,Athens,2,10,5,0,2,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,P-experiment,1,Athens,2,10,6,0,2,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5915,P-experiment,1,Athens,2,10,7,0,2,7.462087,0.7075652,0,19,3,0,1,1,1,1
061114MR,5904,5904,5916,P-experiment,1,Athens,2,7,5,1,1,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,P-experiment,1,Athens,2,7,6,3,1,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5904,5904,5916,P-experiment,1,Athens,2,7,10,1,1,7.462087,0.7075652,0,18,0,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,3,5,0,5,11,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,3,5,0,5,11,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5901,P-experiment,1,Athens,3,5,0,5,11,7.462087,0.7075652,0,18,2,0,1,1,1,0
061114MR,5901,5901,5902,P-experiment,1,Athens,3,0,5,2,14,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,P-experiment,1,Athens,3,0,0,3,14,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5902,P-experiment,1,Athens,3,0,0,4,14,7.462087,0.7075652,1,18,2,0,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,3,0,5,5,14,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,3,0,0,5,14,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5903,P-experiment,1,Athens,3,0,0,5,14,7.462087,0.7075652,0,18,4,1,1,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,3,0,5,4,14,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,3,0,0,4,14,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5901,5901,5904,P-experiment,1,Athens,3,0,0,6,14,7.462087,0.7075652,1,24,0,0,0,1,1,1
061114MR,5902,5902,5905,P-experiment,1,Athens,3,7,10,0,1,7.462087,0.7075652,0,19,4,0,1,1,1,1
