"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
050323NN,2301,2301,2301,P-experiment,1,Boston,1,20,15,0,0,8.653322,1.53994,0,20,0,0,1,1,1,1
050323NN,2301,2301,2301,P-experiment,1,Boston,1,20,0,10,0,8.653322,1.53994,0,20,0,0,1,1,1,1
050323NN,2301,2301,2301,P-experiment,1,Boston,1,20,10,0,0,8.653322,1.53994,0,20,0,0,1,1,1,1
050323NN,2301,2301,2302,P-experiment,1,Boston,1,15,20,0,0,8.653322,1.53994,0,19,1,0,1,1,1,1
050323NN,2301,2301,2302,P-experiment,1,Boston,1,15,0,2,0,8.653322,1.53994,0,19,1,0,1,1,1,1
050323NN,2301,2301,2302,P-experiment,1,Boston,1,15,10,0,0,8.653322,1.53994,0,19,1,0,1,1,1,1
050323NN,2301,2301,2303,P-experiment,1,Boston,1,0,20,0,12,8.653322,1.53994,1,19,0,0,1,1,1,1
050323NN,2301,2301,2303,P-experiment,1,Boston,1,0,15,0,12,8.653322,1.53994,1,19,0,0,1,1,1,1
050323NN,2301,2301,2303,P-experiment,1,Boston,1,0,10,0,12,8.653322,1.53994,1,19,0,0,1,1,1,1
050323NN,2301,2301,2304,P-experiment,1,Boston,1,10,20,0,0,8.653322,1.53994,1,28,1,0,0,1,1,1
050323NN,2301,2301,2304,P-experiment,1,Boston,1,10,15,0,0,8.653322,1.53994,1,28,1,0,0,1,1,1
050323NN,2301,2301,2304,P-experiment,1,Boston,1,10,0,0,0,8.653322,1.53994,1,28,1,0,0,1,1,1
050323NN,2302,2302,2305,P-experiment,1,Boston,1,20,8,1,0,8.653322,1.53994,1,26,1,0,0,1,1,0
050323NN,2302,2302,2305,P-experiment,1,Boston,1,20,20,0,0,8.653322,1.53994,1,26,1,0,0,1,1,0
050323NN,2302,2302,2305,P-experiment,1,Boston,1,20,0,3,0,8.653322,1.53994,1,26,1,0,0,1,1,0
050323NN,2302,2302,2306,P-experiment,1,Boston,1,8,20,0,1,8.653322,1.53994,1,21,0,0,0,1,1,1
050323NN,2302,2302,2306,P-experiment,1,Boston,1,8,20,0,1,8.653322,1.53994,1,21,0,0,0,1,1,1
050323NN,2302,2302,2306,P-experiment,1,Boston,1,8,0,2,1,8.653322,1.53994,1,21,0,0,0,1,1,1
050323NN,2302,2302,2307,P-experiment,1,Boston,1,20,20,0,0,8.653322,1.53994,0,21,0,0,0,1,1,0
050323NN,2302,2302,2307,P-experiment,1,Boston,1,20,8,0,0,8.653322,1.53994,0,21,0,0,0,1,1,0
050323NN,2302,2302,2307,P-experiment,1,Boston,1,20,0,5,0,8.653322,1.53994,0,21,0,0,0,1,1,0
050323NN,2302,2302,2308,P-experiment,1,Boston,1,0,20,0,10,8.653322,1.53994,0,21,0,0,0,1,1,1
050323NN,2302,2302,2308,P-experiment,1,Boston,1,0,8,0,10,8.653322,1.53994,0,21,0,0,0,1,1,1
050323NN,2302,2302,2308,P-experiment,1,Boston,1,0,20,0,10,8.653322,1.53994,0,21,0,0,0,1,1,1
050323NN,2303,2303,2309,P-experiment,1,Boston,1,20,5,0,5,8.653322,1.53994,1,18,0,0,1,1,1,1
