"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
060519U1,4501,4501,4501,P-experiment,1,Chengdu,1,5,20,2,4,9.337529,-0.4096516,1,20,0,0,1,1,1,1
060519U1,4501,4501,4501,P-experiment,1,Chengdu,1,5,20,2,4,9.337529,-0.4096516,1,20,0,0,1,1,1,1
060519U1,4501,4501,4501,P-experiment,1,Chengdu,1,5,5,1,4,9.337529,-0.4096516,1,20,0,0,1,1,1,1
060519U1,4501,4501,4502,P-experiment,1,Chengdu,1,20,5,2,2,9.337529,-0.4096516,1,20,0,0,1,0,1,1
060519U1,4501,4501,4502,P-experiment,1,Chengdu,1,20,20,0,2,9.337529,-0.4096516,1,20,0,0,1,0,1,1
060519U1,4501,4501,4502,P-experiment,1,Chengdu,1,20,5,2,2,9.337529,-0.4096516,1,20,0,0,1,0,1,1
060519U1,4501,4501,4503,P-experiment,1,Chengdu,1,20,5,2,2,9.337529,-0.4096516,1,24,0,0,0,1,1,1
060519U1,4501,4501,4503,P-experiment,1,Chengdu,1,20,20,0,2,9.337529,-0.4096516,1,24,0,0,0,1,1,1
060519U1,4501,4501,4503,P-experiment,1,Chengdu,1,20,5,2,2,9.337529,-0.4096516,1,24,0,0,0,1,1,1
060519U1,4501,4501,4504,P-experiment,1,Chengdu,1,5,5,0,5,9.337529,-0.4096516,0,22,0,0,0,1,1,1
060519U1,4501,4501,4504,P-experiment,1,Chengdu,1,5,20,0,5,9.337529,-0.4096516,0,22,0,0,0,1,1,1
060519U1,4501,4501,4504,P-experiment,1,Chengdu,1,5,20,0,5,9.337529,-0.4096516,0,22,0,0,0,1,1,1
060519U1,4502,4502,4505,P-experiment,1,Chengdu,1,8,0,1,0,9.337529,-0.4096516,1,25,3,1,0,1,0,1
060519U1,4502,4502,4505,P-experiment,1,Chengdu,1,8,5,0,0,9.337529,-0.4096516,1,25,3,1,0,1,0,1
060519U1,4502,4502,4505,P-experiment,1,Chengdu,1,8,10,0,0,9.337529,-0.4096516,1,25,3,1,0,1,0,1
060519U1,4502,4502,4506,P-experiment,1,Chengdu,1,0,8,0,3,9.337529,-0.4096516,1,24,1,1,0,1,1,1
060519U1,4502,4502,4506,P-experiment,1,Chengdu,1,0,5,0,3,9.337529,-0.4096516,1,24,1,1,0,1,1,1
060519U1,4502,4502,4506,P-experiment,1,Chengdu,1,0,10,0,3,9.337529,-0.4096516,1,24,1,1,0,1,1,1
060519U1,4502,4502,4507,P-experiment,1,Chengdu,1,5,8,0,0,9.337529,-0.4096516,1,22,0,0,0,0,1,1
060519U1,4502,4502,4507,P-experiment,1,Chengdu,1,5,0,1,0,9.337529,-0.4096516,1,22,0,0,0,0,1,1
060519U1,4502,4502,4507,P-experiment,1,Chengdu,1,5,10,0,0,9.337529,-0.4096516,1,22,0,0,0,0,1,1
060519U1,4502,4502,4508,P-experiment,1,Chengdu,1,10,8,0,0,9.337529,-0.4096516,1,23,1,0,0,1,1,1
060519U1,4502,4502,4508,P-experiment,1,Chengdu,1,10,0,1,0,9.337529,-0.4096516,1,23,1,0,0,1,1,1
060519U1,4502,4502,4508,P-experiment,1,Chengdu,1,10,5,0,0,9.337529,-0.4096516,1,23,1,0,0,1,1,1
060519U1,4503,4503,4509,P-experiment,1,Chengdu,1,10,12,0,0,9.337529,-0.4096516,0,22,1,1,0,1,1,1
060519U1,4503,4503,4509,P-experiment,1,Chengdu,1,10,6,1,0,9.337529,-0.4096516,0,22,1,1,0,1,1,1
060519U1,4503,4503,4509,P-experiment,1,Chengdu,1,10,10,0,0,9.337529,-0.4096516,0,22,1,1,0,1,1,1
060519U1,4503,4503,4510,P-experiment,1,Chengdu,1,12,10,0,0,9.337529,-0.4096516,0,23,1,1,0,1,1,1
060519U1,4503,4503,4510,P-experiment,1,Chengdu,1,12,6,0,0,9.337529,-0.4096516,0,23,1,1,0,1,1,1
060519U1,4503,4503,4510,P-experiment,1,Chengdu,1,12,10,0,0,9.337529,-0.4096516,0,23,1,1,0,1,1,1
060519U1,4503,4503,4511,P-experiment,1,Chengdu,1,6,10,0,3,9.337529,-0.4096516,0,28,2,0,0,1,1,1
060519U1,4503,4503,4511,P-experiment,1,Chengdu,1,6,12,0,3,9.337529,-0.4096516,0,28,2,0,0,1,1,1
060519U1,4503,4503,4511,P-experiment,1,Chengdu,1,6,10,0,3,9.337529,-0.4096516,0,28,2,0,0,1,1,1
060519U1,4503,4503,4512,P-experiment,1,Chengdu,1,10,10,0,0,9.337529,-0.4096516,1,26,0,0,0,1,1,0
060519U1,4503,4503,4512,P-experiment,1,Chengdu,1,10,12,0,0,9.337529,-0.4096516,1,26,0,0,0,1,1,0
