"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
060405R6,4201,4201,4201,P-experiment,1,Istanbul,1,20,13,0,3,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4201,4201,4201,P-experiment,1,Istanbul,1,20,17,0,3,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4201,4201,4201,P-experiment,1,Istanbul,1,20,15,0,3,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4201,4201,4202,P-experiment,1,Istanbul,1,13,20,3,0,9.790349,0.0176548,0,21,5,0,0,1,1,1
060405R6,4201,4201,4202,P-experiment,1,Istanbul,1,13,17,0,0,9.790349,0.0176548,0,21,5,0,0,1,1,1
060405R6,4201,4201,4202,P-experiment,1,Istanbul,1,13,15,0,0,9.790349,0.0176548,0,21,5,0,0,1,1,1
060405R6,4201,4201,4203,P-experiment,1,Istanbul,1,17,20,0,0,9.790349,0.0176548,0,20,3,0,1,1,0,1
060405R6,4201,4201,4203,P-experiment,1,Istanbul,1,17,13,0,0,9.790349,0.0176548,0,20,3,0,1,1,0,1
060405R6,4201,4201,4203,P-experiment,1,Istanbul,1,17,15,0,0,9.790349,0.0176548,0,20,3,0,1,1,0,1
060405R6,4201,4201,4204,P-experiment,1,Istanbul,1,15,20,0,0,9.790349,0.0176548,1,20,1,0,1,0,1,0
060405R6,4201,4201,4204,P-experiment,1,Istanbul,1,15,13,0,0,9.790349,0.0176548,1,20,1,0,1,0,1,0
060405R6,4201,4201,4204,P-experiment,1,Istanbul,1,15,17,0,0,9.790349,0.0176548,1,20,1,0,1,0,1,0
060405R6,4202,4202,4205,P-experiment,1,Istanbul,1,16,10,0,3,9.790349,0.0176548,0,20,1,1,1,1,1,1
060405R6,4202,4202,4205,P-experiment,1,Istanbul,1,16,20,0,3,9.790349,0.0176548,0,20,1,1,1,1,1,1
060405R6,4202,4202,4205,P-experiment,1,Istanbul,1,16,20,0,3,9.790349,0.0176548,0,20,1,1,1,1,1,1
060405R6,4202,4202,4206,P-experiment,1,Istanbul,1,10,16,0,3,9.790349,0.0176548,0,18,0,0,1,1,1,1
060405R6,4202,4202,4206,P-experiment,1,Istanbul,1,10,20,0,3,9.790349,0.0176548,0,18,0,0,1,1,1,1
060405R6,4202,4202,4206,P-experiment,1,Istanbul,1,10,20,0,3,9.790349,0.0176548,0,18,0,0,1,1,1,1
060405R6,4202,4202,4207,P-experiment,1,Istanbul,1,20,16,1,0,9.790349,0.0176548,0,20,0,1,1,1,1,1
060405R6,4202,4202,4207,P-experiment,1,Istanbul,1,20,10,0,0,9.790349,0.0176548,0,20,0,1,1,1,1,1
060405R6,4202,4202,4207,P-experiment,1,Istanbul,1,20,20,0,0,9.790349,0.0176548,0,20,0,1,1,1,1,1
060405R6,4202,4202,4208,P-experiment,1,Istanbul,1,20,16,2,0,9.790349,0.0176548,0,22,2,0,0,1,0,1
060405R6,4202,4202,4208,P-experiment,1,Istanbul,1,20,10,3,0,9.790349,0.0176548,0,22,2,0,0,1,0,1
060405R6,4202,4202,4208,P-experiment,1,Istanbul,1,20,20,0,0,9.790349,0.0176548,0,22,2,0,0,1,0,1
060405R6,4203,4203,4209,P-experiment,1,Istanbul,1,12,5,3,4,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4203,4203,4209,P-experiment,1,Istanbul,1,12,0,5,4,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4203,4203,4209,P-experiment,1,Istanbul,1,12,10,0,4,9.790349,0.0176548,0,22,2,0,0,1,1,1
060405R6,4203,4203,4210,P-experiment,1,Istanbul,1,5,12,4,4,9.790349,0.0176548,0,20,2,0,1,0,1,1
060405R6,4203,4203,4210,P-experiment,1,Istanbul,1,5,0,1,4,9.790349,0.0176548,0,20,2,0,1,0,1,1
060405R6,4203,4203,4210,P-experiment,1,Istanbul,1,5,10,2,4,9.790349,0.0176548,0,20,2,0,1,0,1,1
060405R6,4203,4203,4211,P-experiment,1,Istanbul,1,0,12,0,11,9.790349,0.0176548,1,18,1,0,1,0,1,1
060405R6,4203,4203,4211,P-experiment,1,Istanbul,1,0,5,0,11,9.790349,0.0176548,1,18,1,0,1,0,1,1
060405R6,4203,4203,4211,P-experiment,1,Istanbul,1,0,10,0,11,9.790349,0.0176548,1,18,1,0,1,0,1,1
060405R6,4203,4203,4212,P-experiment,1,Istanbul,1,10,12,0,2,9.790349,0.0176548,0,21,2,0,0,1,1,0
060405R6,4203,4203,4212,P-experiment,1,Istanbul,1,10,5,1,2,9.790349,0.0176548,0,21,2,0,0,1,1,0
060405R6,4203,4203,4212,P-experiment,1,Istanbul,1,10,0,5,2,9.790349,0.0176548,0,21,2,0,0,1,1,0
060405R6,4204,4204,4213,P-experiment,1,Istanbul,1,9,12,0,3,9.790349,0.0176548,1,19,1,0,1,1,1,1
060405R6,4204,4204,4213,P-experiment,1,Istanbul,1,9,9,0,3,9.790349,0.0176548,1,19,1,0,1,1,1,1
060405R6,4204,4204,4213,P-experiment,1,Istanbul,1,9,14,0,3,9.790349,0.0176548,1,19,1,0,1,1,1,1
060405R6,4204,4204,4214,P-experiment,1,Istanbul,1,12,9,2,0,9.790349,0.0176548,0,22,0,0,0,0,1,1
060405R6,4204,4204,4214,P-experiment,1,Istanbul,1,12,9,2,0,9.790349,0.0176548,0,22,0,0,0,0,1,1
060405R6,4204,4204,4214,P-experiment,1,Istanbul,1,12,14,0,0,9.790349,0.0176548,0,22,0,0,0,0,1,1
060405R6,4204,4204,4215,P-experiment,1,Istanbul,1,9,9,0,2,9.790349,0.0176548,1,21,2,0,0,0,1,1
060405R6,4204,4204,4215,P-experiment,1,Istanbul,1,9,12,0,2,9.790349,0.0176548,1,21,2,0,0,0,1,1
060405R6,4204,4204,4215,P-experiment,1,Istanbul,1,9,14,0,2,9.790349,0.0176548,1,21,2,0,0,0,1,1
060405R6,4204,4204,4216,P-experiment,1,Istanbul,1,14,9,1,0,9.790349,0.0176548,0,20,5,0,1,1,0,1
060405R6,4204,4204,4216,P-experiment,1,Istanbul,1,14,12,0,0,9.790349,0.0176548,0,20,5,0,1,1,0,1
060405R6,4204,4204,4216,P-experiment,1,Istanbul,1,14,9,0,0,9.790349,0.0176548,0,20,5,0,1,1,0,1
060405R6,4205,4205,4217,P-experiment,1,Istanbul,1,2,0,3,0,9.790349,0.0176548,0,21,3,0,0,1,1,1
060405R6,4205,4205,4217,P-experiment,1,Istanbul,1,2,0,3,0,9.790349,0.0176548,0,21,3,0,0,1,1,1
060405R6,4205,4205,4217,P-experiment,1,Istanbul,1,2,10,1,0,9.790349,0.0176548,0,21,3,0,0,1,1,1
