"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
070912_1031,6101,6101,6101,N-experiment,0,Melbourne,1,5,10,,,9.018102,1.79427,0,18,0,0,1,0,1,0
070912_1031,6101,6101,6101,N-experiment,0,Melbourne,1,5,6,,,9.018102,1.79427,0,18,0,0,1,0,1,0
070912_1031,6101,6101,6101,N-experiment,0,Melbourne,1,5,20,,,9.018102,1.79427,0,18,0,0,1,0,1,0
070912_1031,6101,6101,6102,N-experiment,0,Melbourne,1,10,5,,,9.018102,1.79427,0,22,0,0,0,1,0,1
070912_1031,6101,6101,6102,N-experiment,0,Melbourne,1,10,6,,,9.018102,1.79427,0,22,0,0,0,1,0,1
070912_1031,6101,6101,6102,N-experiment,0,Melbourne,1,10,20,,,9.018102,1.79427,0,22,0,0,0,1,0,1
070912_1031,6101,6101,6103,N-experiment,0,Melbourne,1,6,5,,,9.018102,1.79427,0,18,1,0,1,1,0,1
070912_1031,6101,6101,6103,N-experiment,0,Melbourne,1,6,10,,,9.018102,1.79427,0,18,1,0,1,1,0,1
070912_1031,6101,6101,6103,N-experiment,0,Melbourne,1,6,20,,,9.018102,1.79427,0,18,1,0,1,1,0,1
070912_1031,6101,6101,6104,N-experiment,0,Melbourne,1,20,5,,,9.018102,1.79427,0,22,0,0,0,1,1,1
070912_1031,6101,6101,6104,N-experiment,0,Melbourne,1,20,10,,,9.018102,1.79427,0,22,0,0,0,1,1,1
070912_1031,6101,6101,6104,N-experiment,0,Melbourne,1,20,6,,,9.018102,1.79427,0,22,0,0,0,1,1,1
070912_1031,6102,6102,6105,N-experiment,0,Melbourne,1,20,5,,,9.018102,1.79427,0,23,0,0,0,1,1,1
070912_1031,6102,6102,6105,N-experiment,0,Melbourne,1,20,0,,,9.018102,1.79427,0,23,0,0,0,1,1,1
070912_1031,6102,6102,6105,N-experiment,0,Melbourne,1,20,5,,,9.018102,1.79427,0,23,0,0,0,1,1,1
070912_1031,6102,6102,6106,N-experiment,0,Melbourne,1,5,20,,,9.018102,1.79427,0,20,0,0,1,1,0,1
070912_1031,6102,6102,6106,N-experiment,0,Melbourne,1,5,0,,,9.018102,1.79427,0,20,0,0,1,1,0,1
070912_1031,6102,6102,6106,N-experiment,0,Melbourne,1,5,5,,,9.018102,1.79427,0,20,0,0,1,1,0,1
070912_1031,6102,6102,6107,N-experiment,0,Melbourne,1,0,20,,,9.018102,1.79427,0,22,0,0,0,1,1,1
070912_1031,6102,6102,6107,N-experiment,0,Melbourne,1,0,5,,,9.018102,1.79427,0,22,0,0,0,1,1,1
070912_1031,6102,6102,6107,N-experiment,0,Melbourne,1,0,5,,,9.018102,1.79427,0,22,0,0,0,1,1,1
070912_1031,6102,6102,6108,N-experiment,0,Melbourne,1,5,20,,,9.018102,1.79427,1,19,0,1,1,1,1,1
070912_1031,6102,6102,6108,N-experiment,0,Melbourne,1,5,5,,,9.018102,1.79427,1,19,0,1,1,1,1,1
070912_1031,6102,6102,6108,N-experiment,0,Melbourne,1,5,0,,,9.018102,1.79427,1,19,0,1,1,1,1,1
070912_1031,6103,6103,6109,N-experiment,0,Melbourne,1,6,2,,,9.018102,1.79427,1,18,0,0,1,0,1,1
070912_1031,6103,6103,6109,N-experiment,0,Melbourne,1,6,10,,,9.018102,1.79427,1,18,0,0,1,0,1,1
070912_1031,6103,6103,6109,N-experiment,0,Melbourne,1,6,15,,,9.018102,1.79427,1,18,0,0,1,0,1,1
