"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
011108O6,804,804,801,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,1,21,4,0,0,1,1,0
011108O6,804,804,801,N-experiment,0,Samara,1,10,20,,,8.050114,-0.8842833,1,21,4,0,0,1,1,0
011108O6,804,804,801,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,1,21,4,0,0,1,1,0
011108O6,804,804,802,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,17,0,0,1,1,1,1
011108O6,804,804,802,N-experiment,0,Samara,1,10,20,,,8.050114,-0.8842833,0,17,0,0,1,1,1,1
011108O6,804,804,802,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,0,17,0,0,1,1,1,1
011108O6,804,804,803,N-experiment,0,Samara,1,20,10,,,8.050114,-0.8842833,0,20,3,0,1,1,1,1
011108O6,804,804,803,N-experiment,0,Samara,1,20,10,,,8.050114,-0.8842833,0,20,3,0,1,1,1,1
011108O6,804,804,803,N-experiment,0,Samara,1,20,5,,,8.050114,-0.8842833,0,20,3,0,1,1,1,1
011108O6,801,801,804,N-experiment,0,Samara,1,8,10,,,8.050114,-0.8842833,1,20,2,1,1,1,0,1
011108O6,801,801,804,N-experiment,0,Samara,1,8,4,,,8.050114,-0.8842833,1,20,2,1,1,1,0,1
011108O6,801,801,804,N-experiment,0,Samara,1,8,15,,,8.050114,-0.8842833,1,20,2,1,1,1,0,1
011108O6,802,802,805,N-experiment,0,Samara,1,10,20,,,8.050114,-0.8842833,0,17,1,0,1,1,1,1
011108O6,802,802,805,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,17,1,0,1,1,1,1
011108O6,802,802,805,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,0,17,1,0,1,1,1,1
011108O6,804,804,806,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,0,20,0,1,1,1,1,1
011108O6,804,804,806,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,0,20,0,1,1,1,1,1
011108O6,804,804,806,N-experiment,0,Samara,1,5,20,,,8.050114,-0.8842833,0,20,0,1,1,1,1,1
011108O6,801,801,807,N-experiment,0,Samara,1,10,8,,,8.050114,-0.8842833,0,21,1,0,0,1,0,1
011108O6,801,801,807,N-experiment,0,Samara,1,10,4,,,8.050114,-0.8842833,0,21,1,0,0,1,0,1
011108O6,801,801,807,N-experiment,0,Samara,1,10,15,,,8.050114,-0.8842833,0,21,1,0,0,1,0,1
011108O6,803,803,808,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,17,0,1,1,1,1,1
011108O6,803,803,808,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,0,17,0,1,1,1,1,1
011108O6,803,803,808,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,17,0,1,1,1,1,1
011108O6,802,802,809,N-experiment,0,Samara,1,20,10,,,8.050114,-0.8842833,0,23,4,0,0,1,0,1
011108O6,802,802,809,N-experiment,0,Samara,1,20,10,,,8.050114,-0.8842833,0,23,4,0,0,1,0,1
011108O6,802,802,809,N-experiment,0,Samara,1,20,5,,,8.050114,-0.8842833,0,23,4,0,0,1,0,1
011108O6,802,802,810,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,21,4,1,0,1,0,1
011108O6,802,802,810,N-experiment,0,Samara,1,10,20,,,8.050114,-0.8842833,0,21,4,1,0,1,0,1
011108O6,802,802,810,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,0,21,4,1,0,1,0,1
011108O6,803,803,811,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,16,2,0,1,1,1,0
011108O6,803,803,811,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,0,16,2,0,1,1,1,0
011108O6,803,803,811,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,16,2,0,1,1,1,0
011108O6,802,802,812,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,1,20,3,0,1,1,1,1
011108O6,802,802,812,N-experiment,0,Samara,1,5,20,,,8.050114,-0.8842833,1,20,3,0,1,1,1,1
011108O6,802,802,812,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,1,20,3,0,1,1,1,1
011108O6,801,801,813,N-experiment,0,Samara,1,4,8,,,8.050114,-0.8842833,1,21,1,0,0,1,0,0
011108O6,801,801,813,N-experiment,0,Samara,1,4,10,,,8.050114,-0.8842833,1,21,1,0,0,1,0,0
011108O6,801,801,813,N-experiment,0,Samara,1,4,15,,,8.050114,-0.8842833,1,21,1,0,0,1,0,0
011108O6,803,803,814,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,1,21,3,0,0,1,0,0
011108O6,803,803,814,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,1,21,3,0,0,1,0,0
011108O6,803,803,814,N-experiment,0,Samara,1,5,10,,,8.050114,-0.8842833,1,21,3,0,0,1,0,0
011108O6,801,801,815,N-experiment,0,Samara,1,15,8,,,8.050114,-0.8842833,1,21,2,1,0,1,0,0
011108O6,801,801,815,N-experiment,0,Samara,1,15,10,,,8.050114,-0.8842833,1,21,2,1,0,1,0,0
011108O6,801,801,815,N-experiment,0,Samara,1,15,4,,,8.050114,-0.8842833,1,21,2,1,0,1,0,0
011108O6,803,803,816,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,18,0,0,1,1,0,1
011108O6,803,803,816,N-experiment,0,Samara,1,10,10,,,8.050114,-0.8842833,0,18,0,0,1,1,0,1
011108O6,803,803,816,N-experiment,0,Samara,1,10,5,,,8.050114,-0.8842833,0,18,0,0,1,1,0,1
011108O6,804,804,801,N-experiment,0,Samara,2,15,8,,,8.050114,-0.8842833,1,21,4,0,0,1,1,0
011108O6,804,804,801,N-experiment,0,Samara,2,15,15,,,8.050114,-0.8842833,1,21,4,0,0,1,1,0
