"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
050425LK,2701,2701,2701,N-experiment,1,St. Gallen,1,20,20,,,8.582849,1.963328,0,20,4,0,1,1,1,1
050425LK,2701,2701,2701,N-experiment,1,St. Gallen,1,20,12,,,8.582849,1.963328,0,20,4,0,1,1,1,1
050425LK,2701,2701,2701,N-experiment,1,St. Gallen,1,20,0,,,8.582849,1.963328,0,20,4,0,1,1,1,1
050425LK,2701,2701,2702,N-experiment,1,St. Gallen,1,20,20,,,8.582849,1.963328,1,26,1,0,0,0,0,0
050425LK,2701,2701,2702,N-experiment,1,St. Gallen,1,20,12,,,8.582849,1.963328,1,26,1,0,0,0,0,0
050425LK,2701,2701,2702,N-experiment,1,St. Gallen,1,20,0,,,8.582849,1.963328,1,26,1,0,0,0,0,0
050425LK,2701,2701,2703,N-experiment,1,St. Gallen,1,12,20,,,8.582849,1.963328,0,20,5,0,1,1,1,1
050425LK,2701,2701,2703,N-experiment,1,St. Gallen,1,12,20,,,8.582849,1.963328,0,20,5,0,1,1,1,1
050425LK,2701,2701,2703,N-experiment,1,St. Gallen,1,12,0,,,8.582849,1.963328,0,20,5,0,1,1,1,1
050425LK,2701,2701,2704,N-experiment,1,St. Gallen,1,0,20,,,8.582849,1.963328,0,20,4,0,1,1,1,1
050425LK,2701,2701,2704,N-experiment,1,St. Gallen,1,0,20,,,8.582849,1.963328,0,20,4,0,1,1,1,1
050425LK,2701,2701,2704,N-experiment,1,St. Gallen,1,0,12,,,8.582849,1.963328,0,20,4,0,1,1,1,1
050425LK,2702,2702,2705,N-experiment,1,St. Gallen,1,20,0,,,8.582849,1.963328,0,19,3,0,1,0,1,0
050425LK,2702,2702,2705,N-experiment,1,St. Gallen,1,20,10,,,8.582849,1.963328,0,19,3,0,1,0,1,0
050425LK,2702,2702,2705,N-experiment,1,St. Gallen,1,20,0,,,8.582849,1.963328,0,19,3,0,1,0,1,0
050425LK,2702,2702,2706,N-experiment,1,St. Gallen,1,0,20,,,8.582849,1.963328,0,21,2,0,0,1,1,1
050425LK,2702,2702,2706,N-experiment,1,St. Gallen,1,0,10,,,8.582849,1.963328,0,21,2,0,0,1,1,1
050425LK,2702,2702,2706,N-experiment,1,St. Gallen,1,0,0,,,8.582849,1.963328,0,21,2,0,0,1,1,1
050425LK,2702,2702,2707,N-experiment,1,St. Gallen,1,10,20,,,8.582849,1.963328,0,19,1,0,1,0,1,1
050425LK,2702,2702,2707,N-experiment,1,St. Gallen,1,10,0,,,8.582849,1.963328,0,19,1,0,1,0,1,1
050425LK,2702,2702,2707,N-experiment,1,St. Gallen,1,10,0,,,8.582849,1.963328,0,19,1,0,1,0,1,1
050425LK,2702,2702,2708,N-experiment,1,St. Gallen,1,0,20,,,8.582849,1.963328,1,20,5,0,1,0,1,1
050425LK,2702,2702,2708,N-experiment,1,St. Gallen,1,0,0,,,8.582849,1.963328,1,20,5,0,1,0,1,1
