"DATA from Herrmann, Thoeni & Gaechter, Antisocial Punishment Across Societies, Science 319, 7 March 2008, 1362-1367, DOI: 10.1126/science.1153808",,,,,,,,,,,,,,,,,,,,,
For explanation of variables see README file; all details of the experiments and variable construction are in the Supplementary Online Material: http://www.sciencemag.org/cgi/content/full/319/5868/1362/DC1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
sessionid,groupid,mgroupid,subjectid,p,secseq,city,period,senderscontribution,otherscontribution,punishment,recpun,civic,ruleoflaw,female,age,numknown,singlechild,ageu21,urbanbackground,middleclass,membership
991104Q6,401,401,401,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,402,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,403,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,402,402,405,P-experiment,1,Zurich,1,5,9,1,3,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,1,5,12,1,3,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,1,5,10,1,3,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,1,9,5,1,1,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,1,9,12,0,1,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,1,9,10,0,1,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,407,P-experiment,1,Zurich,1,12,5,2,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,1,12,9,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,1,12,10,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,1,10,5,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,1,10,9,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,1,10,12,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,411,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,411,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,411,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,412,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,403,403,412,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,403,403,412,P-experiment,1,Zurich,1,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,1,4,10,1,5,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,1,4,16,1,5,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,1,4,20,1,5,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,1,10,4,0,5,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,1,10,16,0,5,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,1,10,20,0,5,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,415,P-experiment,1,Zurich,1,16,4,4,3,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,415,P-experiment,1,Zurich,1,16,10,2,3,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,415,P-experiment,1,Zurich,1,16,20,0,3,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,1,20,4,1,1,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,1,20,10,2,1,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,1,20,16,2,1,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,405,405,417,P-experiment,1,Zurich,1,15,0,1,0,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,417,P-experiment,1,Zurich,1,15,10,0,0,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,417,P-experiment,1,Zurich,1,15,0,1,0,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,1,0,15,0,4,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,1,0,10,0,4,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,1,0,0,2,4,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,1,10,15,0,0,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,1,10,0,3,0,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,1,10,0,3,0,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,420,P-experiment,1,Zurich,1,0,15,0,6,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,405,405,420,P-experiment,1,Zurich,1,0,0,0,6,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,405,405,420,P-experiment,1,Zurich,1,0,10,0,6,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,421,P-experiment,1,Zurich,1,17,15,0,1,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,421,P-experiment,1,Zurich,1,17,20,0,1,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,421,P-experiment,1,Zurich,1,17,18,0,1,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,422,P-experiment,1,Zurich,1,15,17,0,4,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,422,P-experiment,1,Zurich,1,15,20,0,4,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,422,P-experiment,1,Zurich,1,15,18,0,4,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,1,20,17,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,1,20,15,2,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,1,20,18,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,424,P-experiment,1,Zurich,1,18,17,1,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,406,406,424,P-experiment,1,Zurich,1,18,15,2,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,406,406,424,P-experiment,1,Zurich,1,18,20,0,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,402,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,403,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,402,402,405,P-experiment,1,Zurich,2,7,13,0,4,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,2,7,10,1,4,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,2,7,10,1,4,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,2,13,7,1,0,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,2,13,10,0,0,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,2,13,10,0,0,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,407,P-experiment,1,Zurich,2,10,7,2,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,2,10,13,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,2,10,10,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,2,10,7,1,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,2,10,13,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,2,10,10,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,411,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,411,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,411,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,412,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,403,403,412,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,403,403,412,P-experiment,1,Zurich,2,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,2,2,15,1,4,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,2,2,15,1,4,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,2,2,20,0,4,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,2,15,2,0,1,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,2,15,15,0,1,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,2,15,20,1,1,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,415,P-experiment,1,Zurich,2,15,2,4,1,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,415,P-experiment,1,Zurich,2,15,15,0,1,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,415,P-experiment,1,Zurich,2,15,20,0,1,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,2,20,2,0,1,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,2,20,15,0,1,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,2,20,15,0,1,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,405,405,417,P-experiment,1,Zurich,2,10,10,0,0,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,417,P-experiment,1,Zurich,2,10,5,0,0,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,417,P-experiment,1,Zurich,2,10,5,0,0,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,2,10,10,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,2,10,5,2,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,2,10,5,2,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,2,5,10,0,4,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,2,5,10,0,4,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,2,5,5,0,4,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,420,P-experiment,1,Zurich,2,5,10,0,2,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,405,405,420,P-experiment,1,Zurich,2,5,10,0,2,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,405,405,420,P-experiment,1,Zurich,2,5,5,2,2,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,421,P-experiment,1,Zurich,2,19,18,0,0,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,421,P-experiment,1,Zurich,2,19,20,0,0,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,421,P-experiment,1,Zurich,2,19,19,0,0,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,422,P-experiment,1,Zurich,2,18,19,0,2,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,422,P-experiment,1,Zurich,2,18,20,0,2,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,422,P-experiment,1,Zurich,2,18,19,0,2,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,2,20,19,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,2,20,18,1,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,2,20,19,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,424,P-experiment,1,Zurich,2,19,19,0,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,406,406,424,P-experiment,1,Zurich,2,19,18,1,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,406,406,424,P-experiment,1,Zurich,2,19,20,0,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,402,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,403,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,402,402,405,P-experiment,1,Zurich,3,10,10,1,0,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,3,10,13,0,0,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,3,10,10,1,0,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,3,10,10,0,1,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,3,10,13,1,1,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,3,10,10,0,1,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,407,P-experiment,1,Zurich,3,13,10,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,3,13,10,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,3,13,10,0,1,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,3,10,10,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,3,10,10,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,402,402,408,P-experiment,1,Zurich,3,10,13,0,1,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,409,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,0,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,410,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,27,1,,0,0,,
991104Q6,403,403,411,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,411,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,411,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,18,1,,1,1,,
991104Q6,403,403,412,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,403,403,412,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,403,403,412,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,19,1,,1,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,3,2,20,1,14,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,3,2,12,1,14,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,413,P-experiment,1,Zurich,3,2,20,1,14,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,3,20,2,0,1,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,3,20,12,1,1,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,414,P-experiment,1,Zurich,3,20,20,1,1,8.582849,1.963328,1,21,0,,0,0,,
991104Q6,404,404,415,P-experiment,1,Zurich,3,12,2,4,7,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,415,P-experiment,1,Zurich,3,12,20,0,7,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,415,P-experiment,1,Zurich,3,12,20,0,7,8.582849,1.963328,0,21,0,,0,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,3,20,2,10,2,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,3,20,20,0,2,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,404,404,416,P-experiment,1,Zurich,3,20,12,5,2,8.582849,1.963328,0,19,0,,1,1,,
991104Q6,405,405,417,P-experiment,1,Zurich,3,8,10,0,2,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,417,P-experiment,1,Zurich,3,8,10,0,2,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,417,P-experiment,1,Zurich,3,8,7,0,2,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,3,10,8,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,3,10,10,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,418,P-experiment,1,Zurich,3,10,7,1,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,3,10,8,0,0,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,3,10,10,0,0,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,419,P-experiment,1,Zurich,3,10,7,1,0,8.582849,1.963328,0,19,0,,1,0,,
991104Q6,405,405,420,P-experiment,1,Zurich,3,7,8,2,2,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,405,405,420,P-experiment,1,Zurich,3,7,10,0,2,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,405,405,420,P-experiment,1,Zurich,3,7,10,0,2,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,421,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,421,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,421,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,3,,0,0,,
991104Q6,406,406,422,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,422,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,422,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,20,1,,1,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,423,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,22,0,,0,1,,
991104Q6,406,406,424,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,406,406,424,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,406,406,424,P-experiment,1,Zurich,3,20,20,0,0,8.582849,1.963328,0,21,1,,0,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,401,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,20,0,,1,0,,
991104Q6,401,401,402,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,402,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,20,2,,1,1,,
991104Q6,401,401,403,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,403,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,0,25,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,401,401,404,P-experiment,1,Zurich,4,20,20,0,0,8.582849,1.963328,1,22,0,,0,0,,
991104Q6,402,402,405,P-experiment,1,Zurich,4,10,12,2,3,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,4,10,13,1,3,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,405,P-experiment,1,Zurich,4,10,12,2,3,8.582849,1.963328,0,19,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,4,12,10,1,2,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,4,12,13,2,2,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,406,P-experiment,1,Zurich,4,12,12,0,2,8.582849,1.963328,1,20,1,,1,1,,
991104Q6,402,402,407,P-experiment,1,Zurich,4,13,10,2,3,8.582849,1.963328,0,21,0,,0,0,,
991104Q6,402,402,407,P-experiment,1,Zurich,4,13,12,0,3,8.582849,1.963328,0,21,0,,0,0,,
